number of outliers: 15
id,time,value
1,2025:05:25 19:43:39,51566.85
3,2025:05:25 19:43:39,59641.41
1,2025:05:25 19:46:39,95832.09
2,2025:05:25 19:47:39,50485.14
2,2025:05:25 19:51:39,86501.78
3,2025:05:25 20:00:39,43929.35
2,2025:05:25 20:03:39,96572.52
3,2025:05:25 20:05:39,50951.74
3,2025:05:25 20:07:39,61428.17
2,2025:05:25 20:11:39,51415.98
3,2025:05:25 20:12:39,63600.48
3,2025:05:25 20:19:39,80399.57
1,2025:05:25 20:20:39,85202.73
3,2025:05:25 20:24:39,72623.41
1,2025:05:25 20:25:39,37567.76
